Timestamp,Filename,Label,Distance,Preview
2025-05-02 17:01:21,sample_immigration_proposal.pdf,NEEDS REVIEW,0.6316,Immigration Legal Services Proposal Introduction Thank you for considering our firm to assist you wi...
2025-05-02 17:10:48,sample_immigration_proposal.pdf,NEEDS REVIEW,0.6316,Immigration Legal Services Proposal Introduction Thank you for considering our firm to assist you wi...
2025-05-02 17:14:29,sample_immigration_proposal.pdf,NEEDS REVIEW,0.6316,Immigration Legal Services Proposal Introduction Thank you for considering our firm to assist you wi...
2025-05-02 17:17:53,sample_immigration_proposal.pdf,NEEDS REVIEW,0.6316,Immigration Legal Services Proposal Introduction Thank you for considering our firm to assist you wi...
2025-05-06 22:36:15,sample_immigration_proposal.pdf,NEEDS REVIEW,0.6316,Immigration Legal Services Proposal Introduction Thank you for considering our firm to assist you wi...
2025-05-07 13:27:11,sample_immigration_proposal.pdf,NEEDS REVIEW,0.6316,Immigration Legal Services Proposal Introduction Thank you for considering our firm to assist you wi...
2025-05-07 13:29:48,sample_immigration_proposal.pdf,NEEDS REVIEW,0.6316,Immigration Legal Services Proposal Introduction Thank you for considering our firm to assist you wi...
2025-05-07 13:35:38,sample_immigration_proposal.pdf,NEEDS REVIEW,0.6316,Immigration Legal Services Proposal Introduction Thank you for considering our firm to assist you wi...
2025-05-07 13:35:44,sample_immigration_proposal.pdf,NEEDS REVIEW,0.6316,Immigration Legal Services Proposal Introduction Thank you for considering our firm to assist you wi...
2025-05-07 15:52:45,02. Immigration Law Clinic Proposal.pdf,HYBRID_SCAN,0.0,NO,IMMIGRATION LAW CLINIC PROPOSAL Submitted by: Melanie B. Jacobs Dean and Professor of Law Louis D. B...
2025-05-07 21:04:28,02. Immigration Law Clinic Proposal.pdf,NON_PROPOSAL,1.0267,YES,IMMIGRATION LAW CLINIC PROPOSAL Submitted by: Melanie B. Jacobs Dean and Professor of Law Louis D. B...
2025-05-07 21:11:18,02. Immigration Law Clinic Proposal.pdf,NON_PROPOSAL,1.0267,YES,IMMIGRATION LAW CLINIC PROPOSAL Submitted by: Melanie B. Jacobs Dean and Professor of Law Louis D. B...
2025-05-07 21:38:46,02. Immigration Law Clinic Proposal.pdf,NON_PROPOSAL,0.8627,YES,IMMIGRATION LAW CLINIC PROPOSAL Submitted by: Melanie B. Jacobs Dean and Professor of Law Louis D. B...
2025-05-07 22:43:22,Residential Services for Unaccompanied Children Co.pdf,PROPOSAL,0.1994,YES,HUMAN SERVICES U.S.A Administration for Children and Families Office of Refugee Resettlement Standin...
2025-05-07 23:02:00,Community and Regional Integration Network (CARING.pdf,PROPOSAL,0.0,YES,The U.S. Department of Homeland Security (DHS) Notice of Funding Opportunity (NOFO) Fiscal Year 2023...
2025-05-07 23:25:51,Residential Services for Unaccompanied Children Co.pdf,PROPOSAL,0.1994,YES,HUMAN SERVICES U.S.A Administration for Children and Families Office of Refugee Resettlement Standin...
2025-05-23 01:36:47,02. Immigration Law Clinic Proposal.pdf,NON_PROPOSAL,0.8627,YES,IMMIGRATION LAW CLINIC PROPOSAL Submitted by: Melanie B. Jacobs Dean and Professor of Law Louis D. B...
2025-05-23 01:42:59,02. Immigration Law Clinic Proposal.pdf,NON_PROPOSAL,0.8627,YES,IMMIGRATION LAW CLINIC PROPOSAL Submitted by: Melanie B. Jacobs Dean and Professor of Law Louis D. B...
2025-05-23 01:54:15,02. Immigration Law Clinic Proposal.pdf,NON_PROPOSAL,0.8627,YES,IMMIGRATION LAW CLINIC PROPOSAL Submitted by: Melanie B. Jacobs Dean and Professor of Law Louis D. B...
2025-05-23 02:06:25,RFP--Immigration Matters (M0102249xCECC6).pdf,PROPOSAL,0.2366,YES,WEST State of West Virginia Office of the Attorney General Patrick Morrisey (304) 558-2021 Attorney ...
